osm_id,osm_type,final_name,place,population,geoid
153954733,node,Wadesboro,town,5275,3770380
158555014,node,Ocean Isle Beach,village,522,3748700
29635987,node,Central,town,5159,
154088740,node,Richfield,village,515,3756340
158273739,node,Fountain,village,515,3724440
158504048,node,Ossipee,village,514,3749600
153922823,node,Tignall,village,514,
158282519,node,Micro,village,513,3742620
1848187,relation,Loudon County,county,51130,
153885848,node,Andersonville,hamlet,508,
157617693,node,Keener,hamlet,508,3735340
154302483,node,Young Harris,village,508,
158259021,node,Pleasant Garden,village,5074,3752760
154329761,node,Marion,town,5057,3741420
158342001,node,Cheraw,town,5040,
154324729,node,Swannanoa,village,5021,3766280
158277554,node,Wade,village,500,3770340
9120208538,node,Meadow Brook,hamlet,500,
857929575,way,McGalliard Pointe,neighbourhood,5,3769520
158622487,node,Burlington,city,49963,3709060
158249576,node,Edenton,town,4989,3720120
158654764,node,Ayden,town,4977,3702840
158257751,node,Bolton,village,496,3706860
153978048,node,Sawmills,village,4955,3759540
154121343,node,Fairview,town,4934,3722500
158657659,node,Wilson,city,49167,3774540
158507586,node,Seven Lakes,town,4900,3760515
158354681,node,Hookerton,village,490,3732540
4228906997,node,Long View,village,4879,3739280
158450044,node,Hamilton,village,487,3729120
154015139,node,Pendergrass,village,487,
158243624,node,Roper,village,485,3757740
158454006,node,Mullins,town,4844,
158339237,node,Salemburg,village,483,3758840
158489770,node,Erwin,village,4803,3721740
158535860,node,Calypso,village,480,3709760
154079283,node,Kannapolis,city,47839,3735200
158533723,node,Whiteville,town,4766,3773660
157568173,node,Wake Forest,city,47601,3770540
154283050,node,Summit,village,476,
158562646,node,Foxfire,village,475,3724570
154017975,node,Midway,village,4742,3742860
154120019,node,Ellenboro,village,474,3720780
153832812,node,Jonesborough,town,4721,
158546607,node,Caswell Beach,village,472,3710960
158310042,node,Jamesville,village,472,3734320
153863336,node,Sharon,village,471,
158391980,node,Falkland,hamlet,47,3722640
154081954,node,Midland,town,4684,3742760
153981978,node,Carlisle,village,468,
158572367,node,Kittrell,village,467,3736020
154381568,node,Elberton,village,4667,
157584712,node,Bell Arthur,hamlet,466,3704680
158459722,node,Macclesfield,village,465,3739960
154339230,node,Ronda,village,464,3757700
170101224,node,Hayesville,town,461,3730280
158569352,node,Topsail Beach,village,461,3768040
154023580,node,Granite Falls,town,4603,3727420
154077014,node,Belton,village,4591,
154392676,node,Cornelia,town,4584,
158509659,node,Mount Olive,town,4578,3745100
1848191,relation,Monroe County,county,45771,
158292958,node,Raeford,town,4559,3754580
154160203,node,Valdese,town,4542,3769520
158279967,node,Washington Park,village,454,3771240
158609733,node,Farmville,town,4538,3722820
154370860,node,Baileyton,village,452,
1848184,relation,Knox County,county,451324,
157589381,node,Nashville,town,4501,3746000
153970668,node,Greer,city,45000,
193991,relation,Greer,city,45000,
157575376,node,Simpson,village,450,3762040
154313375,node,Bakersville,hamlet,450,3763880
6479416294,node,Lake Santeetlah,hamlet,45,3736514
154147644,node,Oak Grove,village,4482,
154102523,node,Baneberry,village,447,
154203150,node,Bowersville,village,444,
154209889,node,Cumberland Gap,village,443,
6689897094,node,Hares Crossroads,hamlet,44,
6685147922,node,Stricklands Crossroads,hamlet,44,
153936937,node,Webster,town,439,3771600
154373815,node,Elk Park,village,436,3720700
158319517,node,Parkton,village,435,3750340
154327315,node,Hartwell,village,4342,
154020683,node,Walkertown,village,4337,3770660
153836353,node,Peachtree Corners,town,43268,
158593219,node,Lilesville,village,432,3738200
158618991,node,Raleigh,city,431746,3755000
154308923,node,Rogersville,town,4317,
158647087,node,Ahoskie,town,4313,3700500
158546074,node,Arapahoe,village,431,3701640
158577599,node,Danville,city,43055,
11146954534,node,Harrogate,town,4305,
158486063,node,Oak Ridge,village,4295,3748480
158587647,node,Beaufort,town,4261,3704260
158446276,node,Grimesland,village,423,3728240
154183545,node,Gainesville,city,42296,
153891497,node,Spindale,town,4225,3763880
10137976922,node,Baxter Village,village,4217,
153892844,node,Woodruff,town,4212,
154201088,node,Grayson,village,4195,
153875631,node,North Wilkesboro,town,4184,3747880
158341080,node,Belville,village,418,
154292558,node,Lattimore,village,417,3737040
158486105,node,Saint Helena,hamlet,417,3758620
158388844,node,Angier,village,4165,3701400
154091100,node,Oakwood,village,4148,
154380480,node,Welcome,village,4131,3771760
154194177,node,Royal Pines,village,4127,3702140
154010883,node,Elkin,town,4122,3720620
4593844481,node,Avala,neighbourhood,41,
154030193,node,Rutherfordton,town,4095,3758460
158437293,node,Gasburg,village,408,
154100546,node,Walhalla,town,4072,
157643704,node,Nichols,town,404,
154054659,node,Hickory,city,40374,3731060
7046870218,node,The Ridge on Tillery,neighbourhood,40,
154351359,node,Dacusville,hamlet,399,
367807361,node,Florence,city,39899,
154116759,node,Spurgeon,village,3978,
158255984,node,Newport,village,3976,3746860
1847611,relation,Campbell County,county,39752,
13343670507,node,Mulberry,town,39560,
154357593,node,Canton,town,3930,3710240
154207260,node,Dover,locality,393,3761200
158342104,node,Trent Woods,village,3928,3768340
154055109,node,Hickory Grove,village,392,
154107123,node,Sumter,city,39159,
154050352,node,Bishopville,town,3912,
158329588,node,Burgaw,town,3904,3708960
154066142,node,Williamston,village,3899,
154381947,node,Saxon,village,3896,
153888543,node,Milton,town,38924,
158598275,node,Stovall,village,389,3765320
154171024,node,Gamewell,village,3885,3725380
154387250,node,Huntersville,town,38796,3733120
154380584,node,Bethania,village,387,3705340
154304762,node,Boiling Springs,village,3861,3706800
158504515,node,Hobgood,village,385,3731860
158582068,node,Emerald Isle,town,3847,3721160
158343013,node,Elizabethtown,town,3844,3720600
154340617,node,Lockhart,village,384,
157575105,node,Goldsboro,city,38203,3726880
158358634,node,Atlantic Beach,village,381,
154205702,node,Brookford,village,380,3708140
158523520,node,Cove City,village,378,3715020
8567896417,node,Yadkin College,hamlet,377,3775880
154383419,node,Tyro,village,3753,3769020
154165490,node,Dunean,village,3740,
157548892,node,Louisburg,village,3726,3739360
154091384,node,China Grove,village,3722,3712480
154191578,node,Gold Hill,hamlet,372,3726800
8570297780,node,Hardin Valley,suburb,37030,
33979881,node,Spartanburg,city,37013,
157623864,node,Saratoga,village,370,3759340
158226601,node,Randleman,town,3690,3755080
154171932,node,Wilkesboro,town,3687,3774020
154170130,node,Honea Path,town,3686,
158267928,node,Brunswick,village,367,3708420
158340391,node,Staley,village,367,3764380
158615504,node,Jamestown,village,3668,3734300
154073416,node,Inman,town,3665,
154209831,node,Baldwin,village,3653,
154164375,node,Bethune,village,365,
153913056,node,Winnsboro,town,3647,
153964882,node,Wingate,town,3633,3774760
158268165,node,Stokesdale,village,3627,3765040
153955008,node,Wesley Chapel,village,3625,3771940
158354948,node,South Mills,village,362,3763340
154015604,node,Franklin,town,3618,3724640
5850693721,node,Tucker,town,36130,
157642540,node,Goldston,village,361,3726920
158329524,node,Castalia,village,361,3710860
154362793,node,Between,hamlet,358,
153921135,node,Gatlinburg,town,3577,
154083079,node,Arnoldsville,village,357,
158650176,node,Brices Creek,village,3542,3707765
154045831,node,Unicoi,village,3529,
158581982,node,Oak City,village,352,3748060
1848170,relation,Cocke County,county,35162,
154145684,node,Ila,village,351,
153997953,node,University City,suburb,35000,3712000
12345419,relation,University City,suburb,35000,3712000
154080453,node,Mountain Home,village,3490,3744700
154213064,node,Bakersville,village,349,3703100
158620982,node,Dover,village,349,3717660
158496253,node,Bridgeton,village,349,3707860
158497438,node,East Rockingham,village,3471,3757260
154054901,node,Duncan,town,3455,
154203720,node,Ruby,village,344,
2414093701,node,Bunn,village,344,3708860
154184538,node,Dallas,town,3434,3716180
153996191,node,Donalds,village,343,
158277007,node,Troy,town,3423,3768520
158454742,node,Fuquay-Varina,city,34152,3725300
157611465,node,Wallace,village,3413,3770720
157579019,node,Conetoe,village,340,3714200
157581128,node,Rockfish,village,3383,3757200
158601740,node,Benson,town,3374,3705040
158428089,node,Coinjock,hamlet,337,3713500
29630387,node,Liberty,town,3366,
158449612,node,Sandyfield,village,336,3759135
154152460,node,Spencer,village,3357,3763760
4228884695,node,Maiden,village,3354,3740660
157642901,node,Swansboro,village,3344,3766360
154188922,node,Briceville,hamlet,334,
158639623,node,Kitty Hawk,town,3332,3736060
158521757,node,Cofield,village,333,3713460
158408718,node,Plymouth,town,3320,3753040
154006671,node,Woodfin,village,3317,3775280
158343484,node,Creedmoor,village,3290,3715320
153917667,node,Ruth,village,329,3758420
154368436,node,Hilltop,village,3273,
4383906780,node,Mooresville,town,32711,3744220
170121979,node,Waco,village,326,3770320
154036112,node,Bostic,village,326,3707220
154119922,node,Arcadia,village,3246,
154011630,node,McConnells,village,324,
154181982,node,Forest Hills,village,323,3724170
157606391,node,Alamance,village,323,3700640
158399594,node,Rennert,village,323,3755940
153858507,node,Ridgeway,village,321,
154194161,node,New London,village,320,3746820
154076634,node,Maryville,city,31907,
154015331,node,Tiger,village,318,
158498251,node,Lillington,town,3171,3738220
